N,P0TO1,P1TO2,AvgRetime,AvgRutime,AvgStime,AvgTurn
20,0,0,48,25,0,74
20,5,5,63,37,0,100
20,10,10,47,26,0,74
20,15,15,56,33,0,90
20,20,20,57,31,0,90
20,25,25,45,25,0,70
20,30,30,41,21,0,63
