N,P0TO1,P1TO2,AvgRetime,AvgRutime,AvgStime,AvgTurn
20,0,0,334,93,0,428
20,5,5,497,140,0,637
20,10,10,367,103,0,471
20,15,15,439,123,0,562
20,20,20,431,119,0,551
20,25,25,329,92,0,422
20,30,30,287,81,0,368
