N,AvgRetime,AvgRutime,AvgStime,AvgTurn
1,0,30,0,30
5,1,26,0,27
10,15,24,0,39
15,31,24,0,56
20,42,23,0,65
25,53,23,0,77
30,109,37,0,147
35,114,37,0,151
40,133,36,0,170
45,124,36,0,161
50,160,37,0,197
55,157,36,0,194
60,147,36,0,183
