N,AvgRetime,AvgRutime,AvgStime,AvgTurn
1,5,102,0,107
5,32,96,0,129
10,132,96,0,228
15,225,95,0,320
20,327,92,0,419
25,423,93,0,517
30,808,142,0,950
35,991,151,0,1142
40,1116,143,0,1260
45,1246,141,0,1388
50,1429,145,0,1575
55,1552,142,0,1694
60,1713,143,0,1856
