N,AvgRetime,AvgRutime,AvgStime,AvgTurn
1,1,47,0,48
5,0,37,0,38
10,20,33,0,54
15,41,34,0,75
20,69,35,0,105
25,79,32,0,112
30,95,32,0,128
35,125,36,0,161
40,136,34,0,170
45,157,35,0,192
50,170,34,1,207
55,170,35,0,206
60,207,36,0,243
