N,AvgRetime,AvgRutime,AvgStime,AvgTurn
1,13,134,0,147
5,48,128,0,177
10,167,128,0,295
15,291,124,0,415
20,444,128,0,572
25,563,127,0,691
30,684,127,0,811
35,900,137,0,1037
40,969,126,0,1096
45,1150,134,0,1284
50,1317,136,0,1454
55,1434,134,0,1569
60,1585,135,0,1721
