N,AvgRetime,AvgRutime,AvgStime,AvgTurn
1,9,0,100,109
5,145,0,100,246
10,305,0,99,406
15,428,0,100,529
20,586,0,99,687
25,709,0,99,809
30,828,0,99,928
35,1055,0,99,1156
40,1114,0,99,1215
45,1317,0,99,1417
50,1480,1,99,1581
55,1597,1,100,1698
60,1744,1,99,1845
